"Tarih","Şimdi","Açılış","Yüksek","Düşük","Hac.","Fark %"
"2020-07-03","1787.60","1786.90","1788.70","1783.65","0","-0,13"
"2020-07-02","1790.00","1779.00","1791.70","1766.30","186,31K","0,57"
"2020-07-01","1779.90","1798.90","1807.70","1767.90","263,25K","-1,14"
"2020-06-30","1800.50","1784.20","1804.00","1774.80","199,42K","1,08"
"2020-06-29","1781.20","1789.20","1790.40","1776.50","130,51K","0,05"
"2020-06-26","1780.30","1774.80","1786.20","1754.00","201,23K","0,55"
"2020-06-25","1770.60","1772.30","1779.60","1764.10","152,20K","-0,25"
"2020-06-24","1775.10","1784.40","1796.10","1770.60","239,53K","-0,39"
"2020-06-23","1782.00","1764.90","1786.80","1758.30","194,68K","0,88"
"2020-06-22","1766.40","1765.80","1779.00","1753.50","228,68K","0,76"
"2020-06-19","1753.00","1729.80","1760.90","1728.30","181,15K","1,27"
"2020-06-18","1731.10","1735.50","1749.20","1722.70","155,91K","-0,26"
"2020-06-17","1735.60","1735.30","1739.30","1717.30","140,07K","-0,05"
"2020-06-16","1736.50","1732.30","1741.30","1721.80","182,42K","0,54"
"2020-06-15","1727.20","1740.70","1743.80","1706.20","200,23K","-0,58"
"2020-06-12","1737.30","1733.60","1753.00","1728.20","151,40K","-0,14"
"2020-06-11","1739.80","1746.60","1754.90","1727.50","205,35K","1,11"
"2020-06-10","1720.70","1718.90","1749.40","1714.10","198,76K","-0,07"
"2020-06-09","1721.90","1703.90","1729.40","1697.60","182,91K","0,99"
"2020-06-08","1705.10","1686.70","1707.60","1680.70","154,77K","1,31"
"2020-06-05","1683.00","1720.80","1723.20","1671.70","273,68K","-2,57"
"2020-06-04","1727.40","1702.80","1729.00","1698.90","198,72K","1,33"
"2020-06-03","1704.80","1733.70","1738.90","1690.30","256,52K","-1,68"
"2020-06-02","1734.00","1750.30","1757.00","1728.00","175,35K","-0,93"
"2020-06-01","1750.30","1749.80","1761.00","1737.60","146,13K","-0,08"
"2020-05-29","1751.70","1732.70","1754.50","1725.30","150,11K","1,35"
"2020-05-28","1728.30","1725.00","1743.70","1720.00","164,82K","0,09"
"2020-05-27","1726.80","1724.10","1729.10","1701.60","158,95K","-0,08"
"2020-05-26","1728.20","1753.00","1755.60","1721.20","152,50K","0,07"
"2020-05-25","1727.00","1730.55","1731.35","1719.25","0","-0,21"
"2020-05-24","1730.65","1735.45","1735.90","1729.80","0","-0,28"
"2020-05-22","1735.50","1726.00","1742.00","1722.50","196,82K","0,79"
"2020-05-21","1721.90","1751.70","1751.70","1715.30","238,74K","-1,72"
"2020-05-20","1752.10","1749.20","1757.60","1744.00","184,46K","0,37"
"2020-05-19","1745.60","1734.80","1751.60","1727.20","185,26K","0,65"
"2020-05-18","1734.40","1757.50","1775.80","1729.30","271,47K","-1,25"
"2020-05-15","1756.30","1738.50","1761.20","1736.80","200,18K","0,88"
"2020-05-14","1740.90","1723.10","1746.50","1716.00","212,91K","1,43"
"2020-05-13","1716.40","1705.00","1726.50","1701.60","211,61K","0,56"
"2020-05-12","1706.80","1700.00","1716.70","1693.50","198,07K","0,52"
"2020-05-11","1698.00","1706.00","1713.80","1692.10","202,17K","-0,93"
"2020-05-08","1713.90","1727.20","1735.50","1703.10","232,81K","-0,69"
"2020-05-07","1725.80","1686.00","1733.20","1683.90","250,70K","2,21"
"2020-05-06","1688.50","1714.10","1716.60","1683.00","203,37K","-1,29"
"2020-05-05","1710.60","1711.00","1717.80","1695.40","184,73K","-0,16"
"2020-05-04","1713.30","1711.20","1726.00","1700.30","148,73K","0,73"
"2020-05-01","1700.90","1693.50","1714.40","1676.00","168,02K","0,40"
"2020-04-30","1694.20","1729.60","1737.00","1687.50","234,53K","-1,12"
"2020-04-29","1713.40","1724.80","1733.50","1708.20","159,60K","-0,51"
"2020-04-28","1722.20","1724.40","1731.90","1704.10","171,34K","-0,09"
"2020-04-27","1723.80","1745.00","1745.80","1720.00","146,64K","-0,68"
"2020-04-24","1735.60","1753.00","1760.20","1725.40","180,24K","-0,56"
