"Tarih","Şimdi","Açılış","Yüksek","Düşük","Fark %"
"04.07.2020","63.050","62.651","63.390","62.650","0,64"
"03.07.2020","62.651","62.867","63.150","62.399","-0,34"
"02.07.2020","62.867","63.595","63.849","62.050","-1,14"
"01.07.2020","63.595","63.000","63.890","62.750","0,94"
"30.06.2020","63.000","63.407","63.695","62.661","-0,64"
"29.06.2020","63.407","63.731","63.990","62.500","-0,51"
"28.06.2020","63.731","63.223","64.200","63.015","0,80"
"27.06.2020","63.223","63.855","64.200","62.350","-0,99"
"26.06.2020","63.855","64.216","64.498","63.017","-0,56"
"25.06.2020","64.216","64.881","64.881","63.785","-1,02"
"24.06.2020","64.881","66.008","66.290","64.301","-1,71"
"23.06.2020","66.008","66.399","66.478","66.000","-0,59"
"22.06.2020","66.399","64.721","66.800","64.410","2,59"
"21.06.2020","64.721","64.869","65.143","64.550","-0,23"
"20.06.2020","64.869","64.595","65.146","64.101","0,42"
"19.06.2020","64.595","64.650","64.989","63.650","-0,09"
"18.06.2020","64.650","64.750","65.135","64.135","-0,15"
"17.06.2020","64.750","65.220","65.500","63.890","-0,72"
"16.06.2020","65.220","64.800","65.650","64.308","0,65"
"15.06.2020","64.800","64.450","65.150","61.654","0,54"
"14.06.2020","64.450","65.070","65.182","64.110","-0,95"
"13.06.2020","65.070","65.080","65.210","64.350","-0,02"
"12.06.2020","65.080","64.265","65.950","64.205","1,27"
"11.06.2020","64.265","67.185","67.218","63.557","-4,35"
"10.06.2020","67.185","66.399","67.445","66.020","1,18"
"09.06.2020","66.399","66.040","66.500","65.480","0,54"
"08.06.2020","66.040","66.000","66.177","65.500","0,06"
"07.06.2020","66.000","65.613","66.300","64.501","0,59"
"06.06.2020","65.613","65.585","65.950","64.600","0,04"
"05.06.2020","65.585","65.815","66.199","65.485","-0,35"
"04.06.2020","65.815","64.950","66.399","64.350","1,33"
"03.06.2020","64.950","64.188","65.499","64.002","1,19"
"02.06.2020","64.188","67.290","68.100","62.500","-4,48"
"01.06.2020","67.200","64.498","67.615","64.101","4,19"
"31.05.2020","64.498","65.430","65.544","64.250","-1,42"
"30.05.2020","65.430","64.196","65.950","64.000","1,92"
"29.05.2020","64.196","64.888","65.010","63.697","-1,07"
"28.05.2020","64.888","62.459","64.899","62.190","3,89"
"27.05.2020","62.459","59.960","62.898","59.960","4,17"
"26.05.2020","59.960","61.130","61.890","59.300","-1,91"
"25.05.2020","61.130","60.312","61.850","60.011","1,36"
"24.05.2020","60.312","62.900","63.495","60.312","-4,11"
"23.05.2020","62.900","63.145","63.450","62.501","-0,39"
"22.05.2020","63.145","62.000","63.750","60.999","1,85"
"21.05.2020","62.000","64.999","65.299","60.100","-4,61"
"20.05.2020","64.999","66.400","66.850","64.386","-2,11"
"19.05.2020","66.400","66.700","67.146","65.860","-0,45"
"18.05.2020","66.700","66.444","67.500","65.851","0,39"
"17.05.2020","66.444","65.250","67.500","64.920","1,83"
"16.05.2020","65.250","64.985","66.500","64.050","0,41"
"15.05.2020","64.985","67.720","67.789","63.600","-4,04"
"14.05.2020","67.720","65.007","69.200","64.815","4,17"
"13.05.2020","65.007","62.300","65.650","62.051","4,35"
"12.05.2020","62.300","61.970","63.448","61.610","0,53"
"11.05.2020","61.970","62.652","68.000","59.676","-1,32"
"10.05.2020","62.799","68.350","68.727","58.998","-7,99"
"09.05.2020","68.250","70.256","71.189","67.600","-2,86"
"08.05.2020","70.256","70.725","71.900","69.755","-0,89"
"07.05.2020","70.885","66.600","71.180","65.900","6,51"
"06.05.2020","66.551","63.850","67.954","63.501","4,23"
"05.05.2020","63.850","62.798","63.980","62.620","1,68"
"04.05.2020","62.798","62.928","63.168","60.801","-0,21"
"03.05.2020","62.928","62.800","63.995","62.101","0,21"
"02.05.2020","62.794","62.115","63.180","61.650","1,09"
"01.05.2020","62.115","61.070","64.399","60.750","1,71"
"30.04.2020","61.070","60.885","65.523","58.512","0,66"
"29.04.2020","60.672","54.532","62.865","54.400","11,46"
"28.04.2020","54.435","54.610","54.699","54.190","-0,32"
"27.04.2020","54.610","53.751","54.644","53.670","1,60"
"26.04.2020","53.751","52.499","53.899","52.499","2,38"
"25.04.2020","52.499","52.230","53.050","52.000","0,51"
"24.04.2020","52.230","51.700","53.200","51.519","1,03"
"23.04.2020","51.700","49.649","52.350","49.218","4,21"
"22.04.2020","49.611","48.372","49.960","48.200","2,56"
"21.04.2020","48.372","48.100","48.750","47.901","0,57"
"20.04.2020","48.100","49.350","49.802","47.400","-2,53"
"19.04.2020","49.350","49.785","49.921","48.552","-0,87"
"18.04.2020","49.785","48.745","49.995","48.620","2,13"
"17.04.2020","48.745","48.738","49.269","48.421","0,01"
"16.04.2020","48.738","46.390","49.000","45.320","5,06"
"15.04.2020","46.390","47.198","47.500","46.100","-1,48"
"14.04.2020","47.085","46.700","47.700","46.250","0,82"
"13.04.2020","46.700","46.846","47.498","45.609","-0,31"
"12.04.2020","46.846","46.401","48.897","46.100","0,78"
"11.04.2020","46.485","46.690","46.930","45.800","-0,44"
"10.04.2020","46.690","49.001","49.145","45.400","-4,72"
"09.04.2020","49.001","49.566","49.789","48.280","-1,41"
"08.04.2020","49.700","48.580","50.250","48.250","2,31"
"07.04.2020","48.580","49.688","50.600","47.250","-2,16"
"06.04.2020","49.650","45.600","49.958","45.560","8,88"
"05.04.2020","45.600","45.699","45.800","45.284","-0,22"
"04.04.2020","45.699","45.063","46.165","45.001","1,41"
"03.04.2020","45.063","44.500","46.500","44.000","1,27"
"02.04.2020","44.500","43.229","46.699","43.070","2,94"
"01.04.2020","43.229","42.202","43.650","41.100","2,43"
"31.03.2020","42.202","42.000","42.650","41.850","0,84"
"30.03.2020","41.850","38.506","42.900","38.300","8,68"
"29.03.2020","38.506","40.530","40.740","38.300","-4,90"
"28.03.2020","40.488","41.487","41.599","39.411","-2,41"
"27.03.2020","41.487","43.249","43.591","41.254","-4,07"
"26.03.2020","43.249","43.200","43.618","42.598","0,11"
"25.03.2020","43.200","43.624","44.280","42.502","-0,97"
"24.03.2020","43.624","42.400","44.300","41.700","2,89"
"23.03.2020","42.400","39.300","43.166","38.836","7,89"
"22.03.2020","39.300","41.151","42.251","38.900","-4,50"
"21.03.2020","41.151","41.100","42.948","39.210","0,12"
"20.03.2020","41.100","40.409","45.499","37.003","1,71"
"19.03.2020","40.409","34.645","42.000","34.302","16,37"
"18.03.2020","34.725","34.560","34.960","33.200","0,36"
"17.03.2020","34.600","32.539","35.500","32.190","6,41"
"16.03.2020","32.515","36.078","36.379","30.751","-9,88"
"15.03.2020","36.078","34.790","39.200","34.360","3,70"
"14.03.2020","34.790","36.998","36.998","34.200","-5,97"
"13.03.2020","36.998","33.579","41.012","28.555","10,18"
"12.03.2020","33.579","49.256","49.256","32.750","-31,83"
"11.03.2020","49.256","49.099","49.540","47.359","0,32"
"10.03.2020","49.099","49.250","50.996","48.100","-0,31"
"09.03.2020","49.250","50.250","51.870","47.880","-1,99"
"08.03.2020","50.250","54.489","54.489","50.250","-7,87"
