"Tarih","Şimdi","Açılış","Yüksek","Düşük","Hac.","Fark %"
"03.07.2020","18,315","18,250","18,345","18,223","0","-0,04"
"02.07.2020","18,322","18,285","18,400","17,995","49,86K","0,57"
"01.07.2020","18,218","18,580","18,850","18,095","86,82K","-2,25"
"30.06.2020","18,637","18,095","18,655","18,020","75,09K","3,17"
"29.06.2020","18,064","18,110","18,285","17,935","50,25K","0,33"
"28.06.2020","18,005","17,878","18,098","17,878","0","-0,17"
"26.06.2020","18,035","17,925","18,125","17,560","41,65K","0,78"
"25.06.2020","17,895","17,575","17,940","17,500","46,32K","1,27"
"24.06.2020","17,670","18,100","18,255","17,425","71,47K","-2,18"
"23.06.2020","18,063","17,805","18,140","17,730","75,91K","0,90"
"22.06.2020","17,902","17,920","18,190","17,785","75,21K","-0,38"
"21.06.2020","17,970","17,837","17,983","17,837","0","0,69"
"19.06.2020","17,847","17,490","18,030","17,470","64,57K","1,94"
"18.06.2020","17,508","17,705","17,920","17,400","47,76K","-1,50"
"17.06.2020","17,775","17,630","17,815","17,515","43,10K","0,70"
"16.06.2020","17,652","17,520","17,790","17,465","65,04K","1,45"
"15.06.2020","17,399","17,560","17,630","17,015","75,74K","-1,06"
"14.06.2020","17,585","17,562","17,617","17,510","0","0,59"
"12.06.2020","17,482","17,755","17,870","17,470","60,63K","-2,28"
"11.06.2020","17,889","18,335","18,390","17,600","90,45K","0,52"
"10.06.2020","17,796","17,740","18,405","17,685","88,22K","0,01"
"09.06.2020","17,794","17,945","17,990","17,685","54,90K","-0,55"
"08.06.2020","17,893","17,545","17,980","17,495","61,18K","1,77"
"07.06.2020","17,582","17,575","17,595","17,512","0","0,59"
"05.06.2020","17,479","18,020","18,050","17,375","87,12K","-3,22"
"04.06.2020","18,061","17,965","18,130","17,785","56,56K","0,57"
"03.06.2020","17,958","18,395","18,405","17,675","72,24K","-1,65"
"02.06.2020","18,260","18,850","18,900","18,115","78,44K","-3,01"
"01.06.2020","18,827","18,635","18,950","18,455","62,65K","0,77"
"31.05.2020","18,683","18,470","18,755","18,470","0","0,99"
"29.05.2020","18,499","17,920","18,550","17,810","64,04K","2,96"
"28.05.2020","17,967","17,800","18,110","17,685","61,04K","1,18"
"27.05.2020","17,757","17,560","17,860","17,225","65,07K","0,92"
"26.05.2020","17,595","17,630","18,040","17,370","77,62K","-0,27"
"25.05.2020","17,642","17,637","17,685","17,370","0","-0,02"
"24.05.2020","17,645","17,675","17,703","17,617","0","-0,27"
"22.05.2020","17,693","17,435","17,770","17,190","51,24K","1,89"
"21.05.2020","17,364","18,055","18,060","17,260","74,68K","-3,70"
"20.05.2020","18,031","17,875","18,165","17,755","62,49K","0,73"
"19.05.2020","17,901","17,370","18,010","17,340","66,69K","2,48"
"18.05.2020","17,468","17,225","17,985","17,125","91,02K","0,74"
"17.05.2020","17,340","17,110","17,400","17,110","0","1,58"
"15.05.2020","17,070","16,185","17,150","16,155","80,68K","5,66"
"14.05.2020","16,156","15,755","16,225","15,660","52,22K","3,09"
"13.05.2020","15,671","15,625","15,910","15,545","42,56K","-0,24"
"12.05.2020","15,709","15,700","15,880","15,525","35,61K","0,18"
"11.05.2020","15,680","15,755","15,920","15,510","37,38K","-1,10"
"10.05.2020","15,855","15,790","15,870","15,750","0","0,49"
"08.05.2020","15,778","15,625","15,980","15,505","58,81K","1,21"
"07.05.2020","15,590","14,920","15,695","14,920","49,27K","3,83"
"06.05.2020","15,015","15,115","15,390","14,840","38,73K","-0,63"
"05.05.2020","15,110","14,845","15,200","14,760","32,04K","2,12"
"04.05.2020","14,796","15,075","15,225","14,760","37,06K","-1,16"
"03.05.2020","14,970","15,010","15,120","14,805","0","0,21"
"01.05.2020","14,938","15,075","15,150","14,820","32,19K","-0,23"
"30.04.2020","14,973","15,530","15,940","14,850","66,67K","-2,23"
"29.04.2020","15,315","15,330","15,605","15,235","42,10K","-0,08"
"28.04.2020","15,328","15,435","15,505","15,085","31,34K","-0,08"
"27.04.2020","15,341","15,490","15,635","15,300","19,48K","-0,16"
"26.04.2020","15,365","15,350","15,390","15,290","0","-0,52"
"24.04.2020","15,445","15,535","15,730","15,275","18,75K","-0,52"
"23.04.2020","15,526","15,450","15,885","15,355","17,54K","0,15"
"22.04.2020","15,503","15,075","15,535","14,895","15,04K","3,42"
"21.04.2020","14,991","15,675","15,710","14,715","18,39K","-4,82"
"20.04.2020","15,750","15,425","15,805","15,325","10,76K","3,31"
"19.04.2020","15,245","15,290","15,355","15,235","0","-1,29"
"17.04.2020","15,445","15,890","15,945","15,335","9,21K","-2,04"
"16.04.2020","15,766","15,790","16,045","15,585","9,44K","0,72"
"15.04.2020","15,654","16,250","16,255","15,625","10,53K","-4,20"
"14.04.2020","16,341","15,835","16,505","15,835","19,45K","3,84"
"13.04.2020","15,737","16,025","16,100","15,540","13,58K","-0,18"
"12.04.2020","15,765","15,865","15,973","15,732","0","-0,94"
"10.04.2020","15,915","15,915","15,915","15,915","0","-2,01"
"09.04.2020","16,242","15,255","16,300","15,245","20,02K","6,38"
"08.04.2020","15,268","15,340","15,480","15,180","12,74K","-1,70"
"07.04.2020","15,532","15,325","15,950","15,275","18,28K","2,13"
"06.04.2020","15,208","14,590","15,430","14,400","8,27K","4,67"
"05.04.2020","14,530","14,500","14,570","14,357","0","0,05"
"03.04.2020","14,523","14,655","14,765","14,465","4,38K","-1,11"
"02.04.2020","14,686","14,140","14,745","14,030","5,22K","4,72"
"01.04.2020","14,024","14,165","14,290","13,935","5,53K","-1,18"
"31.03.2020","14,191","14,255","14,500","14,090","7,65K","0,08"
"30.03.2020","14,179","14,730","14,745","13,995","6,31K","-2,57"
"29.03.2020","14,553","14,565","14,710","14,473","0","-0,21"
"27.03.2020","14,583","14,630","14,800","14,365","6,94K","-0,69"
"26.03.2020","14,685","14,765","14,975","14,395","4,26K","-1,14"
"25.03.2020","14,855","14,450","14,905","14,235","7,29K","4,15"
"24.03.2020","14,263","13,350","14,415","13,315","10,46K","7,14"
"23.03.2020","13,312","12,665","13,365","12,345","6,22K","7,05"
"22.03.2020","12,435","12,643","12,662","12,290","0","0,08"
"20.03.2020","12,425","12,110","13,140","12,090","7,17K","2,06"
"19.03.2020","12,174","12,025","12,355","11,830","4,23K","3,13"
"18.03.2020","11,805","12,735","12,895","11,680","8,80K","-5,76"
"17.03.2020","12,527","12,910","13,250","12,150","12,41K","-2,48"
"16.03.2020","12,845","15,110","15,150","11,800","12,13K","-13,09"
"15.03.2020","14,780","14,655","15,245","14,655","0","1,69"
"13.03.2020","14,534","15,830","15,890","14,460","7,26K","-9,39"
"12.03.2020","16,041","16,780","16,925","15,535","6,01K","-4,62"
"11.03.2020","16,818","16,945","17,145","16,710","3,50K","-1,06"
"10.03.2020","16,998","17,015","17,245","16,840","4,98K","-0,56"
"09.03.2020","17,094","17,505","17,625","16,595","10,09K","-2,28"
"08.03.2020","17,492","17,343","17,600","17,343","0","1,02"
"06.03.2020","17,315","17,545","17,610","17,070","5,58K","-0,76"
"05.03.2020","17,447","17,265","17,515","17,200","3,00K","0,82"
"04.03.2020","17,305","17,295","17,385","17,140","4,81K","0,32"
"03.03.2020","17,250","16,870","17,535","16,815","5,60K","2,65"
"02.03.2020","16,804","16,555","17,105","16,545","3,50K","1,44"
"01.03.2020","16,565","16,625","16,710","16,445","0","0,24"
"28.02.2020","16,525","17,840","17,960","16,470","11,37K","-7,22"
"27.02.2020","17,811","18,015","18,230","17,725","4,56K","-0,99"
"26.02.2020","17,990","18,115","18,315","17,910","3,71K","-1,94"
"25.02.2020","18,345","18,710","18,760","17,980","14,01K","-3,61"
"24.02.2020","19,033","18,800","19,075","18,690","5,31K","2,06"
"23.02.2020","18,648","18,457","18,793","18,457","0","-0,20"
"21.02.2020","18,686","18,550","18,765","18,505","1,87K","1,13"
"20.02.2020","18,477","18,560","18,565","18,380","4,22K","0,05"
"19.02.2020","18,468","18,305","18,555","18,295","1,98K","0,88"
"18.02.2020","18,306","17,865","18,355","17,865","3,16K","2,91"
"17.02.2020","17,788","17,712","17,863","17,703","0","0,40"
"16.02.2020","17,718","17,773","17,785","17,670","0","-0,94"
"14.02.2020","17,887","17,775","17,930","17,775","1,38K","0,63"
"13.02.2020","17,775","17,680","17,860","17,680","2,00K","0,70"
"12.02.2020","17,652","17,765","17,790","17,600","1,84K","-0,56"
"11.02.2020","17,751","17,920","17,945","17,705","2,71K","-1,07"
"10.02.2020","17,943","17,855","17,975","17,825","2,27K","1,22"
"09.02.2020","17,727","17,683","17,762","17,670","0","-0,68"
"07.02.2020","17,848","17,975","18,005","17,795","2,85K","-0,70"
"06.02.2020","17,974","17,805","18,025","17,795","1,01K","1,22"
"05.02.2020","17,758","17,695","17,855","17,625","0,82K","0,24"
"04.02.2020","17,716","17,825","17,890","17,670","0,81K","-0,62"
"03.02.2020","17,826","18,225","18,225","17,765","0,90K","-1,33"
"02.02.2020","18,067","18,115","18,117","18,020","0","-0,54"
"31.01.2020","18,165","17,970","18,230","17,920","1,05K","0,10"
"30.01.2020","18,147","17,750","18,170","17,725","1,01K","2,85"
"29.01.2020","17,644","17,605","17,715","17,545","0,69K","0,16"
"28.01.2020","17,615","18,260","18,260","17,600","0,79K","-3,29"
"27.01.2020","18,215","18,440","18,480","18,210","0,65K","-0,02"
"26.01.2020","18,218","18,115","18,370","18,115","0","-0,30"
"24.01.2020","18,272","17,955","18,295","17,925","1,03K","1,58"
"23.01.2020","17,988","18,000","18,010","17,800","0,40K","-0,01"
"22.01.2020","17,989","17,990","18,070","17,940","1,50K","0,11"
"21.01.2020","17,970","18,220","18,300","17,785","0,81K","-0,57"
"20.01.2020","18,073","18,045","18,133","18,003","0","0,17"
"19.01.2020","18,043","18,032","18,060","18,027","0","-1,06"
"17.01.2020","18,236","18,135","18,325","18,095","0,59K","0,74"
"16.01.2020","18,102","18,165","18,200","18,040","0,22K","-0,26"
"15.01.2020","18,150","18,000","18,190","17,925","1,01K","1,36"
"14.01.2020","17,906","18,115","18,115","17,855","2,36K","-1,42"
"13.01.2020","18,164","18,235","18,235","18,110","1,72K","0,48"
"12.01.2020","18,078","18,135","18,150","18,052","0","-1,07"
"10.01.2020","18,273","18,090","18,330","18,050","2,86K","0,93"
"09.01.2020","18,105","18,370","18,375","17,990","2,27K","-1,26"
"08.01.2020","18,336","18,695","18,980","18,280","2,27K","-1,22"
"07.01.2020","18,562","18,325","18,615","18,210","1,85K","1,18"
"06.01.2020","18,346","18,350","18,695","18,225","4,18K","0,74"
"05.01.2020","18,212","18,098","18,343","18,098","0","-0,58"
"03.01.2020","18,319","18,275","18,455","18,220","1,42K","0,58"
"02.01.2020","18,213","18,085","18,270","18,000","0,73K","1,53"
"01.01.2020","17,938","17,913","18,000","17,913","0","-0,83"
"31.12.2019","18,089","18,200","18,335","18,065","0,77K","-0,44"
"30.12.2019","18,169","18,090","18,175","18,015","0,27K","1,63"
"29.12.2019","17,878","17,835","17,887","17,835","0","-1,28"
"27.12.2019","18,110","18,145","18,185","17,985","0,45K","-0,25"
"26.12.2019","18,156","18,185","18,300","18,020","0,92K","1,82"
"25.12.2019","17,832","17,850","17,863","17,808","0","-1,04"
"24.12.2019","18,020","17,620","18,020","17,610","1,32K","2,00"
"23.12.2019","17,666","17,415","17,675","17,415","0,78K","2,43"
"22.12.2019","17,247","17,262","17,262","17,238","0","-0,82"
"20.12.2019","17,390","17,275","17,475","17,275","0,22K","0,40"
"19.12.2019","17,320","17,220","17,320","17,140","0,14K","0,61"
"18.12.2019","17,215","17,220","17,265","17,110","0,44K","-0,14"
"17.12.2019","17,239","17,255","17,295","17,210","0,24K","-0,24"
"16.12.2019","17,280","17,205","17,275","17,205","0,34K","1,75"
"15.12.2019","16,983","17,000","17,027","16,980","0","-1,14"
"13.12.2019","17,179","17,145","17,210","17,075","0,58K","0,35"
"12.12.2019","17,119","17,100","17,335","17,000","0,25K","0,59"
"11.12.2019","17,018","16,885","17,165","16,860","0,71K","0,86"
"10.12.2019","16,873","16,835","16,925","16,835","0,83K","0,36"
"09.12.2019","16,812","16,745","16,890","16,745","0,54K","1,05"
"08.12.2019","16,637","16,602","16,637","16,598","0","-0,75"
"06.12.2019","16,763","17,175","17,270","16,745","1,16K","-2,69"
"05.12.2019","17,227","17,115","17,240","17,070","0,97K","0,81"
"04.12.2019","17,088","17,400","17,565","17,050","0,48K","-1,92"
"03.12.2019","17,422","17,160","17,445","17,160","0,52K","1,64"
"02.12.2019","17,141","17,115","17,225","17,100","0,38K","0,46"
"01.12.2019","17,062","17,098","17,102","17,052","0","-1,27"
"29.11.2019","17,281","17,255","17,280","17,125","0,49K","1,46"
"28.11.2019","17,032","17,080","17,102","17,003","0","-1,16"
"27.11.2019","17,232","17,300","17,300","17,200","1,40K","-0,70"
"26.11.2019","17,354","17,110","17,385","17,100","2,24K","0,94"
"25.11.2019","17,192","17,235","17,260","17,135","4,37K","0,94"
"24.11.2019","17,032","17,155","17,155","17,010","0","-1,57"
"22.11.2019","17,303","17,375","17,490","17,275","1,10K","-0,37"
"21.11.2019","17,367","17,405","17,440","17,320","0,83K","-0,28"
"20.11.2019","17,415","17,410","17,415","17,320","0,35K","-0,03"
"19.11.2019","17,421","17,280","17,435","17,275","0,52K","0,70"
"18.11.2019","17,300","17,165","17,325","17,090","1,64K","1,99"
"17.11.2019","16,962","16,935","16,968","16,933","0","-1,68"
"15.11.2019","17,252","17,270","17,270","17,125","0,85K","-0,49"
"14.11.2019","17,337","17,270","17,380","17,175","1,28K","0,66"
"13.11.2019","17,224","17,260","17,285","17,125","1,65K","1,32"
"12.11.2019","16,999","17,060","17,100","16,945","2,86K","-0,68"
"11.11.2019","17,116","17,100","17,175","17,015","1,41K","1,87"
"10.11.2019","16,802","16,762","16,808","16,758","0","-1,95"
"08.11.2019","17,137","17,385","17,385","17,060","1,70K","-1,11"
"07.11.2019","17,329","17,845","17,895","17,240","1,56K","-3,29"
"06.11.2019","17,919","17,910","17,945","17,690","0,89K","0,18"
"05.11.2019","17,887","18,320","18,390","17,855","0,72K","-2,74"
"04.11.2019","18,391","18,435","18,540","18,290","0,79K","1,48"
"03.11.2019","18,122","18,110","18,133","18,090","0","-1,36"
"01.11.2019","18,371","18,375","18,435","18,300","0,94K","-0,05"
"31.10.2019","18,380","18,145","18,450","18,145","0,80K","1,14"
"30.10.2019","18,172","18,125","18,255","17,910","1,21K","0,20"
"29.10.2019","18,135","18,075","18,170","17,950","0,16K","-0,25"
"28.10.2019","18,180","18,350","18,440","18,095","0,52K","0,82"
"27.10.2019","18,032","18,038","18,062","18,010","0","-1,06"
"25.10.2019","18,226","18,165","18,630","18,120","0,71K","0,70"
"24.10.2019","18,100","17,830","18,125","17,810","0,70K","1,29"
"23.10.2019","17,870","17,860","17,900","17,810","3,34K","0,49"
"22.10.2019","17,783","17,780","17,950","17,760","0,83K","-0,56"
"21.10.2019","17,883","17,900","18,150","17,850","0,32K","1,65"
"20.10.2019","17,593","17,570","17,605","17,565","0","-1,47"
"18.10.2019","17,856","17,740","17,880","17,720","0,17K","-0,19"
"17.10.2019","17,890","17,680","17,900","17,680","0,21K","1,07"
"16.10.2019","17,701","17,695","17,720","17,475","0,80K","0,25"
"15.10.2019","17,656","17,930","18,005","17,655","0,22K","-1,82"
"14.10.2019","17,983","17,860","17,950","17,860","0,11K","2,69"
"13.10.2019","17,512","17,535","17,595","17,497","0","-1,72"
"11.10.2019","17,819","17,880","18,050","17,650","0,37K","-0,31"
"10.10.2019","17,874","18,150","18,150","17,740","0,77K","-1,14"
"09.10.2019","18,081","18,080","18,220","18,040","0,52K","0,61"
"08.10.2019","17,971","17,710","18,120","17,665","0,46K","0,90"
"07.10.2019","17,811","17,880","17,920","17,740","0,17K","1,11"
"06.10.2019","17,615","17,598","17,688","17,580","0","-1,56"
"04.10.2019","17,894","17,950","17,970","17,740","0,39K","-0,28"
"03.10.2019","17,944","17,950","18,100","17,870","0,76K","-0,06"
"02.10.2019","17,954","17,520","17,950","17,520","0,79K","2,16"
"01.10.2019","17,574","17,335","17,625","17,265","1,23K","1,74"
"30.09.2019","17,274","17,840","17,840","17,265","0,30K","-1,73"
"29.09.2019","17,578","17,595","17,657","17,555","0","-1,97"
"27.09.2019","17,932","18,190","18,190","17,645","0,29K","-1,43"
"26.09.2019","18,193","18,350","18,350","18,140","0,23K","-0,89"
"25.09.2019","18,356","18,945","18,945","18,310","0,41K","-2,94"
"24.09.2019","18,912","18,925","18,925","18,650","0,71K","-0,44"
"23.09.2019","18,996","18,495","18,995","18,495","0,59K","5,26"
"22.09.2019","18,047","18,052","18,058","18,012","0","-0,47"
