"Tarih","Şimdi","Açılış","Yüksek","Düşük","Hac.","Fark %"
"03.07.2020","115.748,47","117.315,61","117.391,24","115.311,53","4,56B","-0,99"
"02.07.2020","116.907,77","115.843,62","117.177,73","115.746,00","4,35B","1,38"
"01.07.2020","115.314,98","117.168,08","117.357,88","115.122,55","5,28B","-1,04"
"30.06.2020","116.524,78","115.843,01","116.962,22","115.843,01","5,39B","0,59"
"29.06.2020","115.843,01","114.776,42","116.014,58","114.432,08","3,74B","1,02"
"26.06.2020","114.668,41","115.117,03","115.355,41","114.389,34","3,09B","0,46"
"25.06.2020","114.138,95","114.392,00","114.975,19","113.419,64","3,64B","-0,27"
"24.06.2020","114.448,91","115.369,49","115.627,41","114.333,11","4,25B","-0,77"
"23.06.2020","115.338,85","115.616,80","116.279,22","115.059,63","4,70B","0,13"
"22.06.2020","115.190,05","114.701,40","115.447,43","114.267,16","4,31B","1,39"
"19.06.2020","113.611,89","113.561,41","114.337,53","112.857,92","4,89B","0,99"
"18.06.2020","112.494,62","111.116,86","112.676,16","111.116,86","4,05B","1,40"
"17.06.2020","110.939,96","111.281,27","111.615,13","110.414,06","3,20B","0,00"
"16.06.2020","110.939,66","110.814,81","111.875,03","110.706,03","3,73B","1,26"
"15.06.2020","109.555,95","109.392,95","110.066,94","108.716,08","2,98B","-0,25"
"12.06.2020","109.835,47","108.484,79","110.127,41","107.832,96","2,88B","0,62"
"11.06.2020","109.155,41","109.373,97","110.158,45","108.745,02","3,45B","-0,57"
"10.06.2020","109.778,94","109.599,77","110.409,79","109.391,57","3,51B","0,50"
"09.06.2020","109.236,52","109.944,95","110.329,86","108.456,40","2,84B","-0,37"
"08.06.2020","109.637,08","110.331,85","111.042,82","109.248,40","2,52B","-0,35"
"05.06.2020","110.021,83","110.142,64","110.601,92","109.545,57","2,00B","0,44"
"04.06.2020","109.536,92","109.383,75","109.853,13","108.779,39","2,92B","0,39"
"03.06.2020","109.111,34","108.926,20","109.230,84","108.326,55","2,90B","0,94"
"02.06.2020","108.097,27","107.787,94","108.483,66","107.098,67","3,03B","0,77"
"01.06.2020","107.266,19","106.481,02","107.371,53","106.356,95","2,84B","1,65"
"29.05.2020","105.520,47","105.182,89","105.669,21","104.670,95","2,85B","0,15"
"28.05.2020","105.359,76","105.556,07","106.291,54","104.534,59","2,68B","0,39"
"27.05.2020","104.953,50","103.798,00","105.495,06","103.798,00","2,55B","1,87"
"22.05.2020","103.024,34","102.453,67","103.306,72","102.013,76","1,57B","0,37"
"21.05.2020","102.648,93","102.224,11","103.227,25","102.149,07","2,06B","0,48"
"20.05.2020","102.157,53","102.491,77","102.998,41","101.968,00","2,07B","0,17"
"18.05.2020","101.982,96","100.896,81","102.224,52","100.896,81","2,42B","2,22"
"15.05.2020","99.768,15","99.678,32","100.812,52","99.678,32","1,88B","0,58"
"14.05.2020","99.193,03","100.007,88","100.381,19","98.494,25","2,33B","-0,96"
"13.05.2020","100.159,13","99.705,13","100.864,92","99.442,90","2,39B","0,55"
"12.05.2020","99.615,88","97.926,43","99.708,31","97.740,33","2,54B","1,86"
"11.05.2020","97.792,23","98.419,82","98.641,05","97.792,23","2,09B","-0,05"
"08.05.2020","97.845,20","98.902,63","99.514,39","97.671,82","2,60B","-0,56"
"07.05.2020","98.398,81","98.579,92","99.273,48","97.799,59","2,39B","-0,18"
"06.05.2020","98.571,46","98.886,10","99.280,05","98.069,46","2,28B","-0,17"
"05.05.2020","98.737,52","99.634,33","99.791,34","97.880,46","2,04B","-0,11"
